scale,capability,region,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
3B,spatial_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,64,-0.004374999999999964,0.0,0.013905372163304335,-0.019999999999999907,0.040000000000000036,0.125,0.640625,0.125,0.0,0.0028125000000000025,0.0071874999999999665,-0.019999999999999907,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,relational_reasoning,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.001249999999999996,0.0,0.01763341997458236,-0.020000000000000018,0.039999999999999925,0.328125,0.6875,0.328125,0.0,0.0075000000000000015,0.0062500000000000056,-0.020000000000000018,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
3B,fine_grained_recognition,multimodal_connector_or_merger,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.005937499999999972,0.0,0.00913761969825836,0.0,0.019999999999999907,0.296875,1.0,0.0,0.0,0.005937499999999972,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0009375000000000234,0.0,0.013887803777055587,-0.019999999999999907,0.040000000000000036,0.234375,0.796875,0.234375,0.0,0.0050000000000000044,0.004062499999999981,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,relational_reasoning,multimodal_connector_or_merger,0.017849414271899712,mid,64,-0.00718750000000001,-0.020000000000000018,0.017807016699885478,-0.040000000000000036,0.039999999999999925,0.171875,0.484375,0.171875,0.0,0.0040625,0.01125000000000001,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,0.020000000000000018
3B,fine_grained_recognition,multimodal_connector_or_merger,0.017849414271899712,mid,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.004062499999999981,0.0,0.008046495743489795,0.0,0.019999999999999907,0.203125,1.0,0.0,0.0,0.004062499999999981,0.0,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.001875000000000026,0.0,0.015699820858850567,-0.019999999999999907,0.040000000000000036,0.265625,0.78125,0.265625,0.0,0.0062500000000000056,0.00437499999999998,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,multimodal_connector_or_merger,0.07139765708759885,transition,64,-0.0015000000000000013,0.0,0.005396758286230731,-0.020000000000000018,0.0020000000000000018,0.03125,0.921875,0.0,0.0,6.250000000000006e-05,0.0015625000000000014,0.0,0.0,0.0,0.0,0.0
3B,relational_reasoning,multimodal_connector_or_merger,0.07139765708759885,transition,64,-0.00875000000000001,-0.010000000000000009,0.016909686573085864,-0.040000000000000036,0.039999999999999925,0.125,0.5,0.125,0.0,0.0028125000000000008,0.01156250000000001,-0.020000000000000018,-0.010000000000000009,0.0,0.020000000000000018,0.020000000000000018
3B,fine_grained_recognition,multimodal_connector_or_merger,0.07139765708759885,transition,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,language,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,language,0.0035698828543799426,small,64,0.005937499999999972,0.0,0.009137619698258362,0.0,0.019999999999999907,0.296875,1.0,0.0,0.0,0.005937499999999972,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,language,0.0035698828543799426,small,64,-0.00031249999999996905,0.0,0.015203695068962648,-0.019999999999999907,0.040000000000000036,0.25,0.71875,0.25,0.0,0.005312500000000005,0.005624999999999974,-0.019999999999999907,0.0,0.0050000000000000044,0.020000000000000018,0.020000000000000018
3B,ocr_text_recognition_grounded,language,0.0035698828543799426,small,64,-0.0002187500000000002,0.0,0.0025277753930086455,-0.020000000000000018,0.0020000000000000018,0.046875,0.984375,0.0,0.0,9.375000000000008e-05,0.0003125000000000003,0.0,0.0,0.0,0.0,0.0
