capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
counting,language,0.017849414271899712,64,0.007812499999999965,0.0,0.010378576190884716,0.375,1.0,0.015625,0.0,0.007812499999999965,0.0
counting,language,0.07139765708759885,64,-0.0037500000000000398,0.0,0.027128168017763365,0.328125,0.640625,0.09375,0.0,0.008437499999999971,0.01218750000000001
spatial_reasoning,vision,0.0035698828543799426,64,-0.0024999999999999727,0.0,0.015206906325745522,0.1875,0.734375,0.1875,0.0,0.0037500000000000033,0.006249999999999976
spatial_reasoning,vision,0.017849414271899712,64,-0.0012499999999999734,0.0,0.013169567191065896,0.1875,0.75,0.1875,0.0,0.0037500000000000033,0.004999999999999977
spatial_reasoning,vision,0.07139765708759885,64,-0.0043749999999999675,0.0,0.022211694554896053,0.203125,0.671875,0.203125,0.0,0.005312500000000005,0.009687499999999972
spatial_reasoning,multimodal_connector_or_merger,0.0035698828543799426,64,-0.004374999999999964,0.0,0.013905372163304335,0.125,0.640625,0.125,0.0,0.0028125000000000025,0.0071874999999999665
spatial_reasoning,multimodal_connector_or_merger,0.017849414271899712,64,0.0009375000000000234,0.0,0.013887803777055587,0.234375,0.796875,0.234375,0.0,0.0050000000000000044,0.004062499999999981
spatial_reasoning,multimodal_connector_or_merger,0.07139765708759885,64,0.001875000000000026,0.0,0.015699820858850567,0.265625,0.78125,0.265625,0.0,0.0062500000000000056,0.00437499999999998
spatial_reasoning,language,0.0035698828543799426,64,-0.00031249999999996905,0.0,0.015203695068962648,0.25,0.71875,0.25,0.0,0.005312500000000005,0.005624999999999974
spatial_reasoning,language,0.017849414271899712,64,0.021875000000000033,0.020000000000000018,0.03076498618559742,0.703125,0.859375,0.703125,0.140625,0.026562500000000024,0.0046874999999999886
spatial_reasoning,language,0.07139765708759885,64,-0.004687499999999952,0.010000000000000009,0.07059941461336632,0.5,0.578125,0.5,0.25,0.025625000000000023,0.030312499999999975
