scale,capability,radius,radius_label,delta_sorted,ecdf
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.28125
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.296875
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.3125
3B,spatial_reasoning,0.0035698828543799426,small,-0.019999999999999907,0.328125
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.34375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.359375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.390625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.40625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.421875
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.4375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.453125
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.46875
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.484375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.5
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.515625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.53125
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.546875
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.5625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.578125
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.59375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.609375
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.640625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.65625
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.671875
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.6875
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.703125
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.71875
3B,spatial_reasoning,0.0035698828543799426,small,0.0,0.734375
3B,spatial_reasoning,0.0035698828543799426,small,0.020000000000000018,0.75
3B,spatial_reasoning,0.0035698828543799426,small,0.020000000000000018,0.765625
3B,spatial_reasoning,0.0035698828543799426,small,0.020000000000000018,0.78125
3B,spatial_reasoning,0.0035698828543799426,small,0.020000000000000018,0.796875
3B,spatial_reasoning,0.0035698828543799426,small,0.020000000000000018,0.8125
3B,spatial_reasoning,0.0035698828543799426,small,0.020000000000000018,0.828125
