capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
relational_reasoning,language_early,0.07139765708759885,64,0.003749999999999972,0.0,0.0608147802758507,0.46875,0.671875,0.46875,0.1875,0.02406249999999998,0.02031250000000001
relational_reasoning,language_mid,0.0035698828543799426,64,-0.008750000000000008,0.0,0.012686114456365286,0.0625,0.515625,0.0625,0.0,0.0012500000000000011,0.010000000000000009
relational_reasoning,language_mid,0.017849414271899712,64,-0.0018750000000000103,0.0,0.020530084632071052,0.25,0.65625,0.25,0.0,0.006562499999999997,0.008437500000000007
relational_reasoning,language_mid,0.07139765708759885,64,0.017499999999999967,0.020000000000000018,0.039290584113754266,0.578125,0.796875,0.578125,0.203125,0.026249999999999975,0.008750000000000008
relational_reasoning,language_late,0.0035698828543799426,64,-0.012812500000000011,-0.020000000000000018,0.014733969042657868,0.0625,0.390625,0.0625,0.0,0.0012500000000000011,0.014062500000000012
relational_reasoning,language_late,0.017849414271899712,64,-0.014687500000000015,-0.020000000000000018,0.024809823533229754,0.15625,0.4375,0.15625,0.015625,0.0037500000000000016,0.018437500000000016
relational_reasoning,language_late,0.07139765708759885,64,0.007812499999999974,0.0,0.03751952616638434,0.46875,0.703125,0.46875,0.125,0.019062499999999982,0.011250000000000008
fine_grained_recognition,vision_early,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,vision_early,0.017849414271899712,64,-0.0012499999999999976,0.0,0.0048412291827592616,0.0,0.9375,0.0,0.0,0.0,0.0012499999999999976
fine_grained_recognition,vision_early,0.07139765708759885,64,-0.003749999999999991,0.0,0.009270248108869566,0.03125,0.78125,0.03125,0.0,0.0006250000000000006,0.004374999999999992
fine_grained_recognition,vision_mid,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,vision_mid,0.017849414271899712,64,-0.0003124999999999994,0.0,0.0024803918541230485,0.0,0.984375,0.0,0.0,0.0,0.0003124999999999994
fine_grained_recognition,vision_mid,0.07139765708759885,64,-0.007499999999999986,0.0,0.010897247358851668,0.015625,0.625,0.015625,0.0,0.0003125000000000003,0.007812499999999986
fine_grained_recognition,vision_late,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,vision_late,0.017849414271899712,64,-0.0006249999999999988,0.0,0.003479852726768757,0.0,0.96875,0.0,0.0,0.0,0.0006249999999999988
fine_grained_recognition,vision_late,0.07139765708759885,64,-0.01499999999999998,-0.019999999999999962,0.01499999999999999,0.015625,0.390625,0.015625,0.0,0.0003125000000000003,0.01531249999999998
fine_grained_recognition,language_early,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,language_early,0.017849414271899712,64,-0.006249999999999989,0.0,0.0099215674164922,0.0,0.703125,0.0,0.0,0.0,0.006249999999999989
fine_grained_recognition,language_early,0.07139765708759885,64,-0.028749999999999977,-0.02999999999999997,0.03179524335494226,0.140625,0.265625,0.140625,0.0,0.003437500000000003,0.03218749999999998
fine_grained_recognition,language_mid,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,language_mid,0.017849414271899712,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,language_mid,0.07139765708759885,64,-0.013749999999999988,0.0,0.020271593425283563,0.046875,0.546875,0.046875,0.0,0.0009375000000000008,0.014687499999999989
fine_grained_recognition,language_late,0.0035698828543799426,64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fine_grained_recognition,language_late,0.017849414271899712,64,-0.0028124999999999947,0.0,0.006952686081652171,0.0,0.859375,0.0,0.0,0.0,0.0028124999999999947
fine_grained_recognition,language_late,0.07139765708759885,64,-0.02031249999999998,-0.019999999999999962,0.022773940013752558,0.078125,0.34375,0.078125,0.0,0.0018750000000000017,0.02218749999999998
