parent,capability,radius,region_a,region_b,mean_delta_diff,mean_delta_diff_bh_q,density_ge_0.02_diff,density_ge_0.02_diff_bh_q,positive_thicket_mass_diff,positive_thicket_mass_diff_bh_q
language,relational_reasoning,0.07139765708759885,language_early,language_mid,-0.013749999999999995,0.31139999999999995,-0.109375,0.8816999999999999,-0.002187499999999995,1.0
language,relational_reasoning,0.07139765708759885,language_early,language_late,-0.004062500000000002,1.0,0.0,1.0,0.0049999999999999975,0.7989545454545456
language,relational_reasoning,0.07139765708759885,language_mid,language_late,0.009687499999999993,0.35432307692307696,0.109375,0.8816999999999999,0.0071874999999999925,0.5048999999999999
language,spatial_reasoning,0.0035698828543799426,language_early,language_mid,0.0053124999999999995,0.143775,0.1875,0.35100000000000003,0.004375000000000004,0.15197142857142856
language,spatial_reasoning,0.0035698828543799426,language_early,language_late,0.0034374999999999996,0.37204137931034487,0.125,0.7339846153846155,0.0028125000000000025,0.5453999999999999
language,spatial_reasoning,0.0035698828543799426,language_mid,language_late,-0.001875,0.7278545454545454,-0.0625,1.0,-0.0015625000000000014,0.901584
language,spatial_reasoning,0.017849414271899712,language_early,language_mid,-0.00031249999999999854,1.0,0.0,1.0,0.0003125000000000003,1.0
language,spatial_reasoning,0.017849414271899712,language_early,language_late,-0.0006249999999999901,1.0,0.0,1.0,0.0018750000000000017,1.0
language,spatial_reasoning,0.017849414271899712,language_mid,language_late,-0.0003124999999999916,1.0,0.0,1.0,0.0015625000000000014,1.0
language,spatial_reasoning,0.07139765708759885,language_early,language_mid,0.02750000000000001,0.10761428571428573,0.109375,0.8816999999999999,0.015937500000000014,0.0405
language,spatial_reasoning,0.07139765708759885,language_early,language_late,-0.008124999999999986,0.745835294117647,-0.078125,1.0,0.004687500000000004,0.901584
language,spatial_reasoning,0.07139765708759885,language_mid,language_late,-0.035625,0.00648,-0.1875,0.4509,-0.01125000000000001,0.15197142857142856
language,visual_grounding,0.0035698828543799426,language_early,language_mid,0.0,1.0,0.0,1.0,0.0,1.0
language,visual_grounding,0.0035698828543799426,language_early,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,visual_grounding,0.0035698828543799426,language_mid,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,visual_grounding,0.017849414271899712,language_early,language_mid,0.0003125000000000003,1.0,0.015625,1.0,0.0003125000000000003,1.0
language,visual_grounding,0.017849414271899712,language_early,language_late,0.0003125000000000003,1.0,0.015625,1.0,0.0003125000000000003,1.0
language,visual_grounding,0.017849414271899712,language_mid,language_late,0.0,1.0,0.0,1.0,0.0,1.0
language,visual_grounding,0.07139765708759885,language_early,language_mid,0.0012500000000000011,1.0,0.15625,0.35100000000000003,0.0037500000000000033,0.15197142857142856
language,visual_grounding,0.07139765708759885,language_early,language_late,-0.003437500000000003,0.37204137931034487,0.03125,1.0,0.0012500000000000011,1.0
language,visual_grounding,0.07139765708759885,language_mid,language_late,-0.004687500000000004,0.0666,-0.125,0.54,-0.0025000000000000022,0.3222
