capability,child_region,parent_region,radius,child_density_ge_0.02,parent_density_ge_0.02,density_ratio_child_over_parent,child_positive_thicket_mass,parent_positive_thicket_mass,mass_ratio_child_over_parent
ocr_text_recognition_grounded,vision_early,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
ocr_text_recognition_grounded,vision_early,vision,0.017849414271899712,0.0,0.0,,3.125000000000003e-05,3.125000000000003e-05,1.0
ocr_text_recognition_grounded,vision_early,vision,0.07139765708759885,0.0625,0.09375,0.6666666666666666,0.0012812500000000011,0.0020625000000000036,0.6212121212121207
ocr_text_recognition_grounded,vision_mid,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
ocr_text_recognition_grounded,vision_mid,vision,0.017849414271899712,0.0,0.0,,0.0,3.125000000000003e-05,0.0
ocr_text_recognition_grounded,vision_mid,vision,0.07139765708759885,0.03125,0.09375,0.3333333333333333,0.0006562500000000006,0.0020625000000000036,0.3181818181818179
ocr_text_recognition_grounded,vision_late,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
ocr_text_recognition_grounded,vision_late,vision,0.017849414271899712,0.0,0.0,,3.125000000000003e-05,3.125000000000003e-05,1.0
ocr_text_recognition_grounded,vision_late,vision,0.07139765708759885,0.0,0.09375,0.0,0.0001250000000000001,0.0020625000000000036,0.06060606060606055
ocr_text_recognition_grounded,language_early,language,0.0035698828543799426,0.0,0.0,,3.125000000000003e-05,9.375000000000008e-05,0.3333333333333333
ocr_text_recognition_grounded,language_early,language,0.017849414271899712,0.0,0.0,,0.0002187500000000002,0.00037500000000000033,0.5833333333333334
ocr_text_recognition_grounded,language_early,language,0.07139765708759885,0.09375,0.015625,6.0,0.002187500000000002,0.00046875000000000215,4.666666666666649
ocr_text_recognition_grounded,language_mid,language,0.0035698828543799426,0.0,0.0,,0.0,9.375000000000008e-05,0.0
ocr_text_recognition_grounded,language_mid,language,0.017849414271899712,0.0,0.0,,0.00015625000000000014,0.00037500000000000033,0.4166666666666667
ocr_text_recognition_grounded,language_mid,language,0.07139765708759885,0.0,0.015625,0.0,0.00028125000000000025,0.00046875000000000215,0.5999999999999978
ocr_text_recognition_grounded,language_late,language,0.0035698828543799426,0.0,0.0,,0.0,9.375000000000008e-05,0.0
ocr_text_recognition_grounded,language_late,language,0.017849414271899712,0.0,0.0,,9.375000000000008e-05,0.00037500000000000033,0.25
ocr_text_recognition_grounded,language_late,language,0.07139765708759885,0.0625,0.015625,4.0,0.0017187500000000015,0.00046875000000000215,3.666666666666653
relational_reasoning,vision_early,vision,0.0035698828543799426,0.15625,0.21875,0.7142857142857143,0.004062499999999998,0.0059375,0.6842105263157892
relational_reasoning,vision_early,vision,0.017849414271899712,0.296875,0.40625,0.7307692307692307,0.0078124999999999965,0.012499999999999992,0.6250000000000001
relational_reasoning,vision_early,vision,0.07139765708759885,0.546875,0.53125,1.0294117647058822,0.01843749999999999,0.02312499999999998,0.7972972972972975
relational_reasoning,vision_mid,vision,0.0035698828543799426,0.140625,0.21875,0.6428571428571429,0.003749999999999998,0.0059375,0.6315789473684207
relational_reasoning,vision_mid,vision,0.017849414271899712,0.171875,0.40625,0.4230769230769231,0.0040625,0.012499999999999992,0.32500000000000023
relational_reasoning,vision_mid,vision,0.07139765708759885,0.53125,0.53125,1.0,0.021562499999999984,0.02312499999999998,0.9324324324324326
relational_reasoning,vision_late,vision,0.0035698828543799426,0.140625,0.21875,0.6428571428571429,0.0028125000000000025,0.0059375,0.4736842105263162
relational_reasoning,vision_late,vision,0.017849414271899712,0.15625,0.40625,0.38461538461538464,0.004374999999999999,0.012499999999999992,0.35000000000000014
relational_reasoning,vision_late,vision,0.07139765708759885,0.40625,0.53125,0.7647058823529411,0.015312499999999993,0.02312499999999998,0.6621621621621625
relational_reasoning,language_early,language,0.0035698828543799426,0.15625,0.140625,1.1111111111111112,0.0031250000000000028,0.003125000000000001,1.0000000000000004
relational_reasoning,language_early,language,0.017849414271899712,0.40625,0.40625,1.0,0.013124999999999989,0.01468749999999999,0.8936170212765956
relational_reasoning,language_early,language,0.07139765708759885,0.46875,0.28125,1.6666666666666667,0.02406249999999998,0.013124999999999989,1.8333333333333333
relational_reasoning,language_mid,language,0.0035698828543799426,0.0625,0.140625,0.4444444444444444,0.0012500000000000011,0.003125000000000001,0.40000000000000024
relational_reasoning,language_mid,language,0.017849414271899712,0.25,0.40625,0.6153846153846154,0.006562499999999997,0.01468749999999999,0.44680851063829796
relational_reasoning,language_mid,language,0.07139765708759885,0.578125,0.28125,2.0555555555555554,0.026249999999999975,0.013124999999999989,1.9999999999999998
relational_reasoning,language_late,language,0.0035698828543799426,0.0625,0.140625,0.4444444444444444,0.0012500000000000011,0.003125000000000001,0.40000000000000024
relational_reasoning,language_late,language,0.017849414271899712,0.15625,0.40625,0.38461538461538464,0.0037500000000000016,0.01468749999999999,0.25531914893617047
relational_reasoning,language_late,language,0.07139765708759885,0.46875,0.28125,1.6666666666666667,0.019062499999999982,0.013124999999999989,1.4523809523809523
fine_grained_recognition,vision_early,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
fine_grained_recognition,vision_early,vision,0.017849414271899712,0.0,0.0,,0.0,0.0,
fine_grained_recognition,vision_early,vision,0.07139765708759885,0.03125,0.03125,1.0,0.0006250000000000006,0.0006250000000000006,1.0
fine_grained_recognition,vision_mid,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
fine_grained_recognition,vision_mid,vision,0.017849414271899712,0.0,0.0,,0.0,0.0,
fine_grained_recognition,vision_mid,vision,0.07139765708759885,0.015625,0.03125,0.5,0.0003125000000000003,0.0006250000000000006,0.5
fine_grained_recognition,vision_late,vision,0.0035698828543799426,0.0,0.0,,0.0,0.0,
fine_grained_recognition,vision_late,vision,0.017849414271899712,0.0,0.0,,0.0,0.0,
fine_grained_recognition,vision_late,vision,0.07139765708759885,0.015625,0.03125,0.5,0.0003125000000000003,0.0006250000000000006,0.5
fine_grained_recognition,language_early,language,0.0035698828543799426,0.0,0.0,,0.0,0.0,
fine_grained_recognition,language_early,language,0.017849414271899712,0.0,0.0,,0.0,0.0,
fine_grained_recognition,language_early,language,0.07139765708759885,0.140625,0.0625,2.25,0.003437500000000003,0.002187500000000001,1.571428571428572
fine_grained_recognition,language_mid,language,0.0035698828543799426,0.0,0.0,,0.0,0.0,
fine_grained_recognition,language_mid,language,0.017849414271899712,0.0,0.0,,0.0,0.0,
fine_grained_recognition,language_mid,language,0.07139765708759885,0.046875,0.0625,0.75,0.0009375000000000008,0.002187500000000001,0.4285714285714287
fine_grained_recognition,language_late,language,0.0035698828543799426,0.0,0.0,,0.0,0.0,
fine_grained_recognition,language_late,language,0.017849414271899712,0.0,0.0,,0.0,0.0,
fine_grained_recognition,language_late,language,0.07139765708759885,0.078125,0.0625,1.25,0.0018750000000000017,0.002187500000000001,0.8571428571428574
